time,sensor,temperature
1:37:10 PM,T_TURFIO_0,63
1:37:10 PM,T_RPU_TURF,54.2
1:37:10 PM,T_APU_TURF,54.2
1:37:20 PM,T_TURFIO_3,54.1
1:37:20 PM,T_TURFIO_2,55.5
1:37:20 PM,T_TURFIO_1,65.1
1:37:20 PM,T_TURFIO_0,62.8
1:37:20 PM,T_RPU_TURF,54.9
1:37:20 PM,T_APU_TURF,55
1:37:30 PM,T_TURFIO_3,54.6
1:37:30 PM,T_TURFIO_2,56.2
1:37:30 PM,T_TURFIO_1,63.9
1:37:30 PM,T_TURFIO_0,62.6
1:37:30 PM,T_RPU_TURF,54.9
1:37:30 PM,T_APU_TURF,54.8
1:37:41 PM,T_TURFIO_3,54.8
1:37:41 PM,T_TURFIO_2,55.9
1:37:41 PM,T_TURFIO_1,64.5
1:37:41 PM,T_TURFIO_0,62.6
1:37:41 PM,T_RPU_TURF,53.8
1:37:41 PM,T_APU_TURF,55
1:37:51 PM,T_TURFIO_3,55
1:37:51 PM,T_TURFIO_2,57.2
1:37:51 PM,T_TURFIO_1,65.1
1:37:51 PM,T_TURFIO_0,62.9
1:37:51 PM,T_RPU_TURF,54
1:37:51 PM,T_APU_TURF,53.6
1:38:01 PM,T_APU_TURF,55
1:38:02 PM,T_TURFIO_3,55.5
1:38:02 PM,T_TURFIO_2,56.8
1:38:02 PM,T_TURFIO_1,64.6
1:38:02 PM,T_TURFIO_0,62.9
1:38:02 PM,T_RPU_TURF,56.2
1:38:12 PM,T_TURFIO_3,55.5
1:38:12 PM,T_TURFIO_2,56.5
1:38:12 PM,T_TURFIO_1,65.6
1:38:12 PM,T_TURFIO_0,63.5
1:38:12 PM,T_RPU_TURF,55.3
1:38:12 PM,T_APU_TURF,54.5
1:38:22 PM,T_TURFIO_3,55.2
1:38:22 PM,T_TURFIO_2,57.3
1:38:22 PM,T_TURFIO_1,65.5
1:38:22 PM,T_TURFIO_0,63.4
1:38:22 PM,T_RPU_TURF,55.6
1:38:22 PM,T_APU_TURF,54.2
1:38:33 PM,T_TURFIO_3,55
1:38:33 PM,T_TURFIO_2,56.8
1:38:33 PM,T_TURFIO_1,64.4
1:38:33 PM,T_TURFIO_0,63.2
1:38:33 PM,T_RPU_TURF,54.6
1:38:33 PM,T_APU_TURF,55.4
1:38:43 PM,T_TURFIO_3,54.9
1:38:43 PM,T_TURFIO_2,56.5
1:38:43 PM,T_TURFIO_1,65.2
1:38:43 PM,T_TURFIO_0,62.6
1:38:43 PM,T_RPU_TURF,54.6
1:38:43 PM,T_APU_TURF,54.8
1:38:53 PM,T_TURFIO_3,55.2
1:38:53 PM,T_TURFIO_2,56.5
1:38:53 PM,T_TURFIO_1,65.3
1:38:53 PM,T_TURFIO_0,63.6
1:38:53 PM,T_RPU_TURF,54.4
1:38:53 PM,T_APU_TURF,52.5
1:39:04 PM,T_TURFIO_3,55.5
1:39:04 PM,T_TURFIO_2,56.7
1:39:04 PM,T_TURFIO_1,65.3
1:39:04 PM,T_TURFIO_0,64.4
1:39:04 PM,T_RPU_TURF,56.6
1:39:04 PM,T_APU_TURF,55.2
1:39:14 PM,T_TURFIO_3,55
1:39:14 PM,T_TURFIO_2,56.8
1:39:14 PM,T_TURFIO_1,65.3
1:39:14 PM,T_TURFIO_0,63.2
1:39:14 PM,T_RPU_TURF,53.6
1:39:14 PM,T_APU_TURF,53.6
1:39:24 PM,T_TURFIO_3,55.4
1:39:24 PM,T_TURFIO_2,56.6
1:39:24 PM,T_TURFIO_1,65.2
1:39:24 PM,T_TURFIO_0,63.5
1:39:24 PM,T_RPU_TURF,53.9
1:39:24 PM,T_APU_TURF,55.3
1:39:35 PM,T_TURFIO_3,55.1
1:39:35 PM,T_TURFIO_2,57.1
1:39:35 PM,T_TURFIO_1,65.2
1:39:35 PM,T_TURFIO_0,63.9
1:39:35 PM,T_RPU_TURF,54.1
1:39:35 PM,T_APU_TURF,54.6
1:39:45 PM,T_TURFIO_3,56.4
1:39:45 PM,T_TURFIO_2,56.1
1:39:45 PM,T_TURFIO_1,65.5
1:39:45 PM,T_TURFIO_0,63.9
1:39:45 PM,T_RPU_TURF,55.2
1:39:45 PM,T_APU_TURF,53.5
1:39:55 PM,T_TURFIO_3,56
1:39:55 PM,T_TURFIO_2,57.8
1:39:55 PM,T_TURFIO_1,65
1:39:55 PM,T_TURFIO_0,63.7
1:39:55 PM,T_RPU_TURF,55.2
1:39:55 PM,T_APU_TURF,55.3
1:40:06 PM,T_TURFIO_3,55.4
1:40:06 PM,T_TURFIO_2,57.3
1:40:06 PM,T_TURFIO_1,65
1:40:06 PM,T_TURFIO_0,64.1
1:40:06 PM,T_RPU_TURF,54
1:40:06 PM,T_APU_TURF,54.3
1:41:40 PM,T_TURFIO_3,54.9
1:41:40 PM,T_TURFIO_2,57.7
1:41:40 PM,T_RPU_TURF,54.1
1:41:40 PM,T_APU_TURF,55
1:43:20 PM,T_RPU_TURF,55.4
1:43:20 PM,T_APU_TURF,54.8
